                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0481,                 4.0122,                 1.7863,                0.00389,                0.28193,                0.01449,                0.00793,                 1.5985,                 4.0126,                  1.811,              7.777e-05,              7.777e-05,              7.777e-05
                      2,                 1.7331,                 3.5475,                 1.5817,                0.00669,                0.51691,                0.11312,                0.06434,                 1.3191,                 3.8653,                 1.5245,             0.00016638,             0.00016638,             0.00016638
                      3,                 1.7677,                 2.6971,                 1.5191,                0.00989,                0.65684,                0.18235,                0.10285,                 1.3339,                 3.6416,                  1.403,             0.00025469,             0.00025469,             0.00025469
                      4,                 1.6828,                 2.2565,                 1.4472,                0.64991,                0.21842,                0.24599,                0.13597,                 1.3679,                 3.4627,                 1.4671,             0.00034271,             0.00034271,             0.00034271
                      5,                 1.6679,                 2.0405,                 1.4493,                      1,                0.05475,                0.24737,                 0.1309,                 1.4284,                 3.3957,                 1.5474,             0.00043043,             0.00043043,             0.00043043
                      6,                 1.5855,                  1.773,                 1.3963,                0.87232,                0.09966,                0.20429,                0.12086,                 1.4919,                 3.3267,                 1.6844,             0.00051786,             0.00051786,             0.00051786
                      7,                 1.5952,                  1.662,                 1.3829,                0.76108,                  0.233,                 0.3306,                0.18093,                 1.5463,                 3.0444,                 1.7622,               0.000605,               0.000605,               0.000605
                      8,                 1.5602,                 1.6027,                  1.385,                0.75822,                0.26929,                0.39961,                 0.2414,                 1.4621,                 2.7557,                 1.6625,             0.00069185,             0.00069185,             0.00069185
                      9,                 1.5505,                  1.557,                 1.3739,                0.67699,                0.36197,                0.46513,                0.25569,                 1.5255,                  2.749,                 1.6698,              0.0007784,              0.0007784,              0.0007784
                     10,                 1.5221,                 1.5337,                 1.3457,                0.75918,                  0.379,                0.60102,                0.36291,                 1.5125,                 2.5003,                 1.6643,             0.00086466,             0.00086466,             0.00086466
                     11,                 1.4936,                 1.4703,                 1.3532,                0.75616,                0.38674,                0.60551,                0.31691,                 1.5222,                 2.5582,                 1.7488,             0.00095062,             0.00095062,             0.00095062
                     12,                 1.4428,                 1.3834,                  1.325,                0.61949,                0.55315,                0.65974,                0.36204,                 1.5434,                 2.2203,                 1.7663,              0.0010363,              0.0010363,              0.0010363
                     13,                  1.497,                 1.3824,                   1.39,                0.56209,                0.59622,                0.66958,                0.34549,                 1.6002,                 2.3221,                 1.8401,               0.001089,               0.001089,               0.001089
                     14,                 1.4832,                 1.3239,                 1.3381,                0.54584,                0.58399,                0.63261,                0.30898,                 1.7093,                 2.3902,                 1.9788,              0.0010872,              0.0010872,              0.0010872
                     15,                 1.4845,                 1.3473,                   1.37,                0.48838,                0.65134,                0.65722,                0.31067,                 1.7838,                 2.2484,                 2.0963,              0.0010853,              0.0010853,              0.0010853
                     16,                 1.4542,                 1.2856,                 1.3361,                 0.6939,                0.62513,                0.66505,                0.35648,                 1.7153,                 3.0446,                  1.987,              0.0010835,              0.0010835,              0.0010835
                     17,                 1.4152,                 1.2997,                 1.3526,                0.51534,                 0.6553,                0.63018,                 0.3393,                 1.6752,                 2.5214,                 1.8739,              0.0010817,              0.0010817,              0.0010817
                     18,                 1.4596,                 1.2595,                 1.3175,                0.71639,                0.66449,                0.61523,                0.33327,                 1.6279,                 2.5006,                 1.8036,              0.0010798,              0.0010798,              0.0010798
                     19,                 1.4304,                 1.2695,                 1.3128,                0.82367,                0.54053,                0.61444,                0.35966,                 1.5984,                 2.2331,                 1.6924,               0.001078,               0.001078,               0.001078
                     20,                 1.3993,                 1.1539,                 1.2878,                0.72945,                0.54575,                 0.5953,                0.33096,                 1.6741,                 2.1819,                 1.7713,              0.0010762,              0.0010762,              0.0010762
                     21,                  1.392,                 1.2172,                 1.3181,                0.78973,                0.52177,                0.61405,                 0.3719,                 1.5327,                 2.0655,                 1.6576,              0.0010743,              0.0010743,              0.0010743
                     22,                 1.3904,                 1.1964,                 1.2999,                0.75866,                0.57387,                0.71409,                0.39359,                 1.5394,                 2.0659,                 1.7176,              0.0010725,              0.0010725,              0.0010725
                     23,                 1.4082,                 1.1939,                  1.325,                0.67154,                0.64678,                0.69148,                 0.3336,                 1.6868,                 2.0848,                 1.8055,              0.0010707,              0.0010707,              0.0010707
                     24,                  1.385,                 1.1225,                 1.2749,                0.74206,                0.61274,                 0.6708,                0.37552,                 1.6462,                 1.8902,                  1.793,              0.0010688,              0.0010688,              0.0010688
                     25,                 1.3349,                 1.1177,                 1.2676,                0.72328,                0.70724,                0.68888,                0.36317,                 1.6127,                 1.7568,                 1.7299,               0.001067,               0.001067,               0.001067
                     26,                 1.3133,                 1.1102,                 1.2724,                0.68546,                0.69847,                0.73431,                0.36475,                 1.7275,                 1.7247,                 1.8613,              0.0010652,              0.0010652,              0.0010652
                     27,                 1.3011,                 1.1052,                 1.2697,                0.68135,                0.70913,                0.66954,                0.33993,                 1.7698,                 1.9707,                   1.95,              0.0010633,              0.0010633,              0.0010633
                     28,                 1.3211,                 1.0361,                 1.2369,                0.71499,                0.63535,                0.70639,                0.37998,                  1.632,                  1.838,                 1.8018,              0.0010615,              0.0010615,              0.0010615
                     29,                 1.3362,                 1.0847,                 1.3033,                0.59609,                0.77705,                0.75829,                0.40828,                 1.6093,                 1.6536,                 1.7312,              0.0010597,              0.0010597,              0.0010597
                     30,                 1.2601,                 1.0122,                 1.2372,                0.64294,                0.76886,                0.74122,                0.40659,                 1.5213,                 1.5342,                 1.7349,              0.0010578,              0.0010578,              0.0010578
                     31,                 1.3058,                 0.9985,                 1.2472,                0.69514,                0.65989,                0.75166,                0.39812,                 1.5611,                 1.5616,                 1.7561,               0.001056,               0.001056,               0.001056
                     32,                 1.2836,                 1.0147,                 1.2447,                0.66114,                0.67274,                0.73473,                0.43547,                 1.5222,                 1.6559,                 1.7023,              0.0010542,              0.0010542,              0.0010542
                     33,                 1.2787,                 1.0138,                 1.2271,                0.70763,                0.71526,                0.75387,                0.45596,                 1.5404,                 1.6495,                 1.7158,              0.0010523,              0.0010523,              0.0010523
                     34,                 1.2267,                0.94134,                 1.1996,                0.80252,                0.70694,                0.79429,                0.45525,                 1.5237,                 1.5809,                 1.6711,              0.0010505,              0.0010505,              0.0010505
                     35,                 1.2123,                0.94535,                 1.1969,                0.74182,                0.75381,                0.79599,                0.46609,                 1.5304,                 1.5968,                 1.6914,              0.0010487,              0.0010487,              0.0010487
                     36,                 1.2038,                0.97886,                 1.2101,                0.81274,                0.70243,                0.77706,                0.44496,                 1.6059,                 1.7041,                  1.746,              0.0010468,              0.0010468,              0.0010468
                     37,                 1.2592,                0.99801,                  1.232,                0.68568,                 0.7383,                0.77763,                0.43461,                 1.6191,                 1.6542,                 1.7858,               0.001045,               0.001045,               0.001045
                     38,                 1.2146,                0.94796,                 1.2162,                0.66711,                0.76758,                0.76579,                0.41753,                 1.7264,                 1.5782,                 1.8913,              0.0010432,              0.0010432,              0.0010432
                     39,                 1.2074,                0.90149,                   1.19,                0.68986,                0.74977,                0.75975,                0.41755,                 1.7121,                 1.5395,                  1.868,              0.0010413,              0.0010413,              0.0010413
                     40,                 1.2689,                0.92064,                 1.2168,                0.84578,                0.66017,                0.74164,                0.39645,                 1.7342,                 1.7119,                 1.9335,              0.0010395,              0.0010395,              0.0010395
                     41,                 1.2291,                0.93175,                 1.1988,                0.87073,                0.67031,                0.74397,                 0.4043,                 1.7066,                 1.7624,                 1.8712,              0.0010377,              0.0010377,              0.0010377
                     42,                 1.1702,                0.89327,                  1.176,                0.74829,                0.68177,                0.77265,                0.42153,                 1.6744,                 1.7276,                 1.8329,              0.0010358,              0.0010358,              0.0010358
                     43,                  1.196,                0.93648,                 1.1705,                 0.7495,                0.68747,                 0.7387,                0.40309,                  1.727,                 1.9392,                 1.8542,               0.001034,               0.001034,               0.001034
                     44,                 1.2102,                0.92249,                 1.1879,                0.75385,                0.63124,                0.72512,                 0.3797,                 1.7417,                 1.9977,                 1.8742,              0.0010322,              0.0010322,              0.0010322
                     45,                 1.1275,                0.87122,                 1.1981,                0.72812,                0.68815,                 0.7259,                0.39469,                  1.702,                 1.7961,                 1.8375,              0.0010303,              0.0010303,              0.0010303
                     46,                 1.1576,                 0.8796,                 1.1708,                0.74835,                0.70429,                 0.7549,                0.42821,                 1.6419,                 1.7236,                 1.8011,              0.0010285,              0.0010285,              0.0010285
                     47,                 1.1659,                0.88736,                 1.1641,                0.80881,                0.65512,                0.76645,                0.44889,                 1.5623,                 1.5794,                 1.6886,              0.0010267,              0.0010267,              0.0010267
                     48,                 1.1701,                0.87912,                 1.1498,                0.74083,                0.77849,                 0.7544,                0.43117,                 1.5313,                 1.5518,                 1.6663,              0.0010248,              0.0010248,              0.0010248
                     49,                 1.1894,                0.86865,                 1.1932,                0.72099,                0.69054,                0.74345,                 0.4121,                 1.5475,                 1.6471,                 1.7065,               0.001023,               0.001023,               0.001023
                     50,                 1.2021,                0.88607,                 1.1784,                0.65297,                0.64338,                0.69834,                 0.3792,                  1.581,                 1.7558,                 1.7692,              0.0010212,              0.0010212,              0.0010212
                     51,                 1.1426,                0.84633,                 1.1552,                0.61702,                0.74301,                0.72984,                 0.4001,                 1.5833,                 1.6296,                 1.7749,              0.0010193,              0.0010193,              0.0010193
                     52,                 1.1463,                0.87322,                 1.1595,                0.68193,                 0.6858,                0.72434,                0.40513,                 1.5931,                 1.5869,                 1.7696,              0.0010175,              0.0010175,              0.0010175
